level,term,minecraft_sentence,minecraft_translation
4,sweet,**Sweet** berries grow in the taiga.,**甜**莓果生長在針葉林。
4,swim,**Swim** fast with dolphins.,跟海豚一起快速**游泳**。
4,tape,"We don't use **tape**, we use slime.",我們不用**膠帶**，我們用史萊姆。
4,television,Make a **television** with painting and wool.,用畫和羊毛做一台**電視**。
4,TV,My **TV** screen is too dark.,我的**電視**螢幕太暗了。
4,thirsty,There is no **thirsty** bar in vanilla.,原版遊戲裡沒有**口渴**條。
4,thirteen,Disc **13** is creepy.,**13** 號唱片很毛骨悚然。
4,thirty,I have **thirty** levels for enchanting.,我有**三十**等可以用來附魔。
4,this,**This** is my base.,**這**是我的基地。
4,tomorrow,We will raid the End **tomorrow**.,我們**明天**去突襲終界。
4,twelve,Daylight lasts about **twelve** minutes.,日光大約持續**十二**分鐘 (註: 實際白天10分鐘，加日落約12)。
4,twenty,A full stack of food is not **twenty**.,一組完整的食物不是**二十**個。
4,use,**Use** the crafting table.,**使用**工作台。
4,vacation,Take a **vacation** to the mushroom island.,去蘑菇島度**假**。
4,vegetable,Carrot is a healthy **vegetable**.,紅蘿蔔是健康的**蔬菜**。
4,visit,**Visit** the village to trade.,**拜訪**村莊去交易。
4,wall,Build a **wall** to keep mobs out.,蓋一道**牆**把怪擋在外面。
4,warm,Lava makes the room **warm**.,岩漿讓房間很**溫暖**。
4,weekend,I play all **weekend**.,我整個**週末**都在玩。
4,wet,Sponges stop being **wet** in the furnace.,海綿在熔爐裡就不再是**濕的**。
4,which,**Which** sword is better?,**哪**一把劍比較好？
4,wind,Wind charge creates a gust of **wind**.,風彈產生一陣**風**。
4,window,Glass panes make a good **window**.,玻璃片可以做成很好的**窗戶**。
4,winter,Stray skeletons appear in **winter** biomes.,流浪骷髏出現在**冬天**的生態域。
4,wonderful,The shader makes the view **wonderful**.,光影讓景色變得很**美好**。
4,worry,Don't **worry** about the phantoms.,別**擔心**幻翼。
4,writer,The book **writer** signed the copy.,這本書的**作者**簽名了副本。
4,wrong,That is the **wrong** recipe.,那是**錯的**配方。
4,young,The **young** villager wants to play.,**年輕的**村民想要玩耍。
5,a few,I have **a few** diamonds in my chest.,我的箱子裡有**一些**鑽石。
5,a little,The baby zombie is **a little** faster.,小殭屍有**一點**比較快。
5,a lot,There are **a lot** of mobs in the dark.,黑暗中有**很多**怪物。
5,afraid,Villagers are **afraid** of zombies.,村民**害怕**殭屍。
5,again,Try to jump **again**.,**再**試著跳一次。
5,all,Collect **all** the wood.,收集**所有**的木頭。
5,always,The sun **always** rises in the east.,太陽**總是**從東方升起。
5,answer,**Answer** my question in the chat.,在聊天欄**回答**我的問題。
5,anyone,Is **anyone** on the server?,有**任何人**在伺服器上嗎？
5,anybody,Does **anybody** have food?,有**任何人**有食物嗎？
5,anything,You can build **anything** you want.,你可以建造**任何**你想要的東西。
5,away,Stay **away** from the Creeper!,離苦力怕遠**一點**！(保持距離)
5,back,Come **back** to the spawn point.,**回**到重生點。
5,bake,**Bake** a cake for the party.,為派對**烤**一個蛋糕。
5,basket,A composter looks like a **basket**.,堆肥桶看起來像一個**籃子**。
5,become,"Rotten flesh helps you **become** full, but hungry.",腐肉讓你**變**飽，但會飢餓。
5,before,Sleep **before** night comes.,在夜晚來臨**之前**睡覺。
5,begin,Let the raid **begin**.,讓襲擊**開始**吧。
5,blue,Lapis Lazuli is **blue**.,青金石是**藍色的**。
5,both,**Both** swords are enchanted.,**兩**把劍都有附魔。
5,butter,Gold ingots look like **butter**.,金錠看起來像**奶油**。
5,careful,Be **careful** with the TNT.,對 TNT 要**小心**。
5,catch,**Catch** a fish with a fishing rod.,用釣竿**抓**一條魚。
5,chicken,Raw **chicken** can make you sick.,生**雞肉**會讓你生病。
5,class,Select your **class**: archer or warrior.,選擇你的**職業**：弓箭手或戰士。(RPG伺服器語境)
5,cloudy,The sky is **cloudy** today.,今天天空**多雲**。
5,cook,**Cook** the mutton in the smoker.,在煙燻爐裡**煮**羊肉。
5,cut,**Cut** the melon with shears.,用剪刀**切**西瓜。
5,daughter,The villager has no **daughter** mechanic.,村民沒有**女兒**的機制。
5,delicious,Golden carrots are **delicious**.,金蘿蔔很**美味**。
5,did,**Did** you find the diamonds?,你**有**找到鑽石嗎？
5,driver,You are the boat **driver**.,你是船的**駕駛**。
5,each,**Each** block is one meter.,**每個**方塊是一公尺。
5,early,Wake up **early** to hunt.,**早**起去打獵。
5,easy,Peaceful mode is **easy**.,和平模式很**容易**。
5,enjoy,**Enjoy** the view from the tower.,**享受**從塔上看出去的風景。
5,enough,I don't have **enough** iron.,我沒有**足夠的**鐵。
5,everybody,Hello **everybody**!,**大家**好！
5,everyone,**Everyone** needs armor.,**每個人**都需要盔甲。
5,everything,Take **everything** from the chest.,拿走箱子裡的**每樣東西**。
5,face,The ghast has a scary **face**.,惡魂有一張可怕的**臉**。
5,farm,Build a wheat **farm**.,蓋一個小麥**農場**。
5,fast,Ice makes the boat go **fast**.,冰讓船跑得**快**。
5,fire,Soul **fire** is blue.,靈魂**火**是藍色的。
5,first,Punch wood **first**.,**首先**打木頭。
5,fish,Tropical **fish** are colorful.,熱帶**魚**是色彩繽紛的。
5,forget,Don't **forget** your map.,別**忘記**你的地圖。
5,fork,A trident looks like a giant **fork**.,三叉戟看起來像一根巨大的**叉子**。
5,Friday,We play Survival Games on **Friday**.,我們在**星期五**玩生存遊戲。
5,frisbee,Music discs are like a **frisbee**.,唱片就像**飛盤**。
5,garden,Plant flowers in the **garden**.,在**花園**裡種花。
5,get,**Get** some wood.,**拿**一些木頭。
5,glad,I am **glad** you joined the server.,我很**高興**你加入伺服器。
5,goat,A **goat** can ram you off the mountain.,**山羊**可以把你撞下山。
5,gym,Practice fighting in the **gym** arena.,在**體育館**競技場練習戰鬥。
5,hard,Obsidian is **hard** to break.,黑曜石**很難**破壞。
5,hate,I **hate** phantoms.,我**討厭**幻翼。
5,hear,Can you **hear** the zombie growl?,你能**聽見**殭屍的吼聲嗎？
5,high,The build limit is very **high**.,建築高度限制非常**高**。
5,him,Give the sword to **him**.,把劍給**他**。
5,hop,Rabbits **hop** around.,兔子到處**跳**。
5,hope,I **hope** I find diamonds.,我**希望**我找到鑽石。
5,hotel,Villagers sleep in the **hotel**.,村民睡在**旅館**裡。
5,housewife,There is no **housewife** job for villagers.,村民沒有**家庭主婦**這個工作。
5,hundred,I dug a **hundred** blocks.,我挖了**一百**個方塊。
5,hurry,"**Hurry** up, the sun is setting!",**快**一點，太陽要下山了！
5,husband,Villagers do not have a **husband**.,村民沒有**丈夫**。
5,large,A **large** chest stores more items.,一個**大**箱子儲存更多物品。
5,last,This is my **last** arrow.,這是我**最後**一支箭。
5,left,Turn **left** at the cave.,在洞穴處向**左**轉。
5,lesson,This death taught me a **lesson**.,這次死亡給了我一個**教訓**。
5,lucky,You are **lucky** to find pink wool.,你很**幸運**找到粉紅色羊毛。
5,many,How **many** creepers are there?,那裡有**多少**隻苦力怕？
5,marker,Use a banner as a map **marker**.,使用旗幟當作地圖**標記**。
5,me,Follow **me**.,跟著**我**。
5,meet,**Meet** me at the Nether portal.,在下界傳送門**見**我。
5,Monday,Servers restart on **Monday**.,伺服器在**星期一**重啟。
5,monkey,We need a **monkey** mod.,我們需要一個**猴子**模組。
5,more,I need **more** cobblestone.,我需要**更多**鵝卵石。
5,Mother(mom mommy),Is there a **mother** slime?,有**媽媽**史萊姆嗎？
5,motorcycle,Horses are faster than a **motorcycle** here.,在這裡馬比**機車**還快。
5,mountain,Goats live on the **mountain**.,山羊住在**山**上。
5,mouth,The cave looks like a giant **mouth**.,這個洞穴看起來像一張巨大的**嘴巴**。
5,much,How **much** does this cost?,這要**多少**錢？
5,music,C418 makes great **music**.,C418 製作了很棒的**音樂**。
5,near,Don't build **near** the lava pool.,不要在岩漿池**附近**蓋東西。
5,night,Phantoms spawn at **night**.,幻翼在**晚上**生成。
5,noon,The sun is at the top at **noon**.,**中午**時太陽在頂端。
5,number,What is the seed **number**?,種子碼**號碼**是多少？
5,nurse,A cleric villager acts like a **nurse**.,牧師村民表現得像個**護士**。
5,often,I **often** mine for coal.,我**經常**挖煤礦。
5,once,I met Herobrine **once**.,我遇過 Herobrine **一次**。
5,only,I **only** have wooden tools.,我**只有**木製工具。
5,open,**Open** the inventory.,**打開**物品欄。
5,orange,Acacia wood is **orange**.,相思木是**橘色的**。
5,order,Sort your chest in **order**.,依照**順序**整理你的箱子。
5,other,Check the **other** side of the wall.,檢查牆壁的**另一**邊。
5,outside,It is dangerous **outside**.,**外面**很危險。
5,over,Jump **over** the fence.,跳**過**柵欄。
5,pants,Iron leggings look like **pants**.,鐵護腿看起來像**褲子**。
5,parent,Turtles are the **parent**s of the eggs.,海龜是蛋的**父母**。
5,party,Let's have a cake **party**.,我們來辦個蛋糕**派對**。
5,pass,**Pass** me the pickaxe.,**遞**給我那把鎬。
5,past,Walk **past** the village.,走**過**那個村莊。
5,people,Many **people** play Minecraft.,很多**人**玩 Minecraft。
5,person,First-**person** view is best for mining.,第一**人**稱視角最適合挖礦。
5,photo,Take a screen **photo** (screenshot).,拍一張螢幕**照片** (截圖)。
5,pick,**Pick** up the items.,**撿**起物品。
5,pin,Use a map marker as a **pin**.,使用地圖標記當作大頭**針**。
5,pizza,Make a **pizza** pixel art.,做一個**披薩**像素畫。
5,place,**Place** the block here.,**放置**方塊在這裡。
5,plan,I have a **plan** to beat the dragon.,我有一個打敗龍的**計畫**。
5,pool,Build a swimming **pool**.,蓋一座游泳**池**。
5,practice,**Practice** your aim with a bow.,用弓箭**練習**你的瞄準。
5,pray,Clerics **pray** at the brewing stand.,牧師在釀造台**祈禱** (工作)。
5,prepare,**Prepare** for battle.,為戰鬥**做準備**。
5,present,A shulker box is a great **present**.,界伏盒是一個很棒的**禮物**。
5,price,The **price** is 5 emeralds.,**價格**是 5 顆綠寶石。
5,problem,Lag is a big **problem**.,延遲是一個大**問題**。
5,pull,**Pull** the lever.,**拉**拉桿。
5,puppy,Tame a wolf to get a **puppy**.,馴服狼以獲得**小狗**。
5,purple,Amethyst geodes are **purple**.,紫水晶洞是**紫色的**。
5,push,Pistons **push** blocks.,活塞**推**動方塊。
5,queen,The Ender Dragon is the **queen** of the End.,終界龍是終界的**女王**。
5,question,Ask a **question** about crafting.,問一個關於合成的**問題**。
5,quick,"Be **quick**, the TNT is flashing!",**快**一點，TNT 在閃爍了！
5,rabbit,**Rabbit** stew gives jump boost.,**兔**肉煲給予跳躍提升。
5,radio,Note blocks act like a **radio**.,音符盒表現得像**收音機**。
5,rain,**Rain** puts out fire.,**雨**會澆熄火。
5,rainy,Fishing is better on **rainy** days.,在**下雨的**日子釣魚比較好。
5,remember,**Remember** your coordinates.,**記得**你的座標。
5,repeat,**Repeat** the redstone signal.,**重複** (中繼) 紅石訊號。
5,ride,**Ride** the pig with a saddle.,用鞍**騎**那隻豬。
5,right,Click the **right** mouse button.,點擊滑鼠**右**鍵。
5,robot,Redstone machines are like **robot**s.,紅石機器就像**機器人**。
5,rope,A lead is a **rope** for animals.,拴繩是給動物用的**繩子**。
5,row,Plant crops in a **row**.,將作物種成一**排**。
5,safe,My base is **safe** from mobs.,我的基地對怪物來說是**安全的**。
5,Saturday,I play all day on **Saturday**.,我**星期六**整天都在玩。
5,scared,I am **scared** of the deep dark.,我很**害怕**深淵。
5,second,Wait a **second**.,等一**秒**。
5,seed,Plant the wheat **seed**.,種下小麥**種子**。
5,seldom,I **seldom** see mushroom islands.,我**很少**看見蘑菇島。
5,senior high school,Redstone is harder than **senior high school** math.,紅石比**高中**數學還難。
5,several,I have **several** stacks of wood.,我有**好幾**組木頭。
5,shark,"There are no **shark**s, only dolphins.",沒有**鯊魚**，只有海豚。
5,shoe,My **shoe** broke (boots broke).,我的**鞋子**壞了 (靴子壞了)。
5,shoes,Diamond **shoes** are durable.,鑽石**鞋**很耐用。
5,shout,Don't **shout** in the chat (all caps).,不要在聊天欄**大叫** (全大寫)。
5,skate,**Skate** on the ice with a boat.,用船在冰上**滑行**。
5,smile,The skin has a nice **smile**.,這個皮膚有個好看的**微笑**。
5,snowman,Build a **snowman** with two snow blocks and a pumpkin.,用兩個雪塊和一顆南瓜做一個**雪人**。
5,sometimes,**Sometimes** witches drop potions.,**有時候**女巫會掉落藥水。
5,sorry,"**Sorry**, I took your iron.",**抱歉**，我拿了你的鐵。
5,spoon,A shovel is like a big **spoon**.,鏟子就像一支大**湯匙**。
5,stamp,Banner patterns are like a **stamp**.,旗幟圖案就像**印章**。
5,Sunday,I build on **Sunday**.,我在**星期日**建築。
5,surf,**Surf** the water with a boat.,用船在水上**衝浪**。
5,Taiwan,There is a map of **Taiwan**.,有一張**台灣**的地圖。
5,taxi,Pigs are a slow **taxi**.,豬是緩慢的**計程車**。
5,teach,**Teach** me how to PVP.,**教**我怎麼 PVP。
5,tell,**Tell** me the coordinates.,**告訴**我座標。
5,tennis,Hit the ghast ball like **tennis**.,像打**網球**一樣打擊惡魂火球。
5,test,**Test** the redstone machine.,**測試**這台紅石機器。
5,the,Go to **the** End.,去終界。
5,them,Fight **them** all.,跟**他們**全部戰鬥。
5,third,The **third** slot holds my sword.,**第三**格放我的劍。
5,Thursday,Nether update drops on **Thursday**.,下界更新在**星期四**發布。
5,ticket,Paper acts like a lottery **ticket**.,紙張扮演樂透**彩券**。
5,tiger,Ocelots look like a small **tiger**.,豹貓看起來像小**老虎**。
5,to,Go **to** sleep.,去睡覺。
5,tonight,We fight the Wither **tonight**.,我們**今晚**打凋靈。
5,town,Defend the **town** from raids.,保衛**城鎮**免受襲擊。
5,Tuesday,I mine on **Tuesday**.,我在**星期二**挖礦。
5,understand,I don't **understand** redstone comparators.,我不**了解**紅石比較器。
5,unhappy,Villagers are **unhappy** if you hit them.,如果你打村民，他們會**不開心**。
5,us,Zombies want to eat **us**.,殭屍想要吃**我們**。
5,usually,I **usually** carry a water bucket.,我**通常**會帶水桶。
5,waiter,The villager looks like a **waiter**.,村民看起來像**服務生**。
5,waitress,Is there a **waitress** skin?,有**女服務生**的皮膚嗎？
5,was,Herobrine **was** never real.,Herobrine 從來不**是**真的。
5,watch,**Watch** the sunset.,**觀看**日落。
5,Wednesday,Snapshot day is **Wednesday**.,快照日是**星期三**。
5,welcome,**Welcome** to my server.,**歡迎**來到我的伺服器。
5,well,There is a **well** in the village.,村莊裡有一口**井**。
5,were,Where **were** you?,你剛剛在**哪裡**？
5,wife,Steve does not have a **wife**.,史蒂夫沒有**老婆**。
5,win,**Win** the Bedwars game.,**贏**得這場起床戰爭。
5,windy,It is **windy** on the high hills.,在高山上風**很大**。
5,yard,Build a **yard** for your animals.,為你的動物蓋一個**庭院**。
5,your,Protect **your** bed.,保護**你的**床。
6,age,What is the **age** of this server?,這個伺服器的**年齡** (營運時間) 是多久？
6,agree,Do you **agree** to the server rules?,你**同意**伺服器規則嗎？
6,airplane,Build a model **airplane** in the sky.,在天空中蓋一個**飛機**模型。
6,plane,Jump off the **plane** (elytra course).,從**飛機** (鞘翅跑道) 上跳下來。
6,airport,The clearing looks like an **airport**.,這片空地看起來像個**機場**。
6,also,I need wood and **also** stone.,我需要木頭**也**需要石頭。
6,angry,Endermen get **angry** if you stare.,如果你盯著看，終界使者會**生氣**。
6,another,Let's find **another** village.,我們找**另一個**村莊吧。
6,apartment,My base looks like an **apartment**.,我的基地看起來像一間**公寓**。
6,April,April Fools' updates are funny.,**四月**愚人節更新很有趣。
6,artist,Map art creators are true **artist**s.,地圖畫創作者是真正的**藝術家**。
6,August,Minecon is sometimes in **August**.,Minecon 有時候在**八月**舉辦。
6,bakery,I built a **bakery** to sell bread.,我蓋了一間**麵包店**來賣麵包。
6,baseball,Use a stick as a **baseball** bat.,用木棍當作**棒球**棒。
6,basketball,Throw the item into the hopper like **basketball**.,像打**籃球**一樣把物品丟進漏斗。
6,bath,Take a **bath** in the cauldron.,在鍋釜裡洗**澡**。
6,bathroom,Decorate the **bathroom** with quartz.,用石英裝飾**浴室**。
6,beach,Turtles lay eggs on the **beach**.,海龜在**海灘**上產卵。
6,beautiful,The sunset shaders are **beautiful**.,夕陽光影很**美麗**。
6,because,I died **because** of lag.,我死掉了**因為**延遲。
6,bedroom,Place your bed in the **bedroom**.,把你的床放在**臥室**。
6,believe,I don't **believe** you found diamonds.,我不**相信**你找到了鑽石。
6,between,Place a block **between** the two chests.,在兩個箱子**中間**放一個方塊。
6,blanket,The bed has a red **blanket**.,這張床有紅色的**毯子** (被子)。
6,blow,Creepers **blow** up everything.,苦力怕會**炸**掉所有東西。
6,boat,Craft a **boat** to cross the ocean.,製作一艘**船**來橫渡海洋。
6,borrow,Can I **borrow** your pickaxe?,我可以**借**你的鎬嗎？
6,boss,The Wither is a hard **boss**.,凋靈是一個困難的**魔王**。
6,bottle,Fill the **bottle** with water.,把**瓶子**裝滿水。
6,bottom,Dig to the **bottom** of the world.,挖到世界的**底部**。
6,bun,This texture pack makes bread look like a **bun**.,這個材質包讓麵包看起來像一個**小餐包**。
6,camera,Use spectator mode as a **camera**.,使用旁觀者模式當作**攝影機**。
6,camp,Set up a **camp** fire.,架設一個**營**火。
6,care,Take **care** of your wolves.,照**顧**好你的狼。
6,cent,"Villagers don't use a **cent**, only emeralds.",村民不用**分** (錢)，只用綠寶石。
6,chance,There is a small **chance** to get a trident.,有很小的**機率**獲得三叉戟。
6,cheap,Dirt is very **cheap**.,泥土非常**便宜**。
6,cheese,End stone looks like **cheese**.,終界石看起來像**起司**。
6,China,The Great Wall of **China** build is huge.,**中國**萬里長城的建築非常巨大。
6,chocolate,Cocoa beans make **chocolate** cookies.,可可豆製作**巧克力**餅乾。
6,Christmas,Chests look like presents on **Christmas**.,在**聖誕節**時箱子看起來像禮物。
6,church,The village has a stone **church**.,村莊有一座石頭**教堂**。
6,clap,We cannot **clap** hands in game.,我們在遊戲中不能**拍**手。
6,clean,**Clean** up your inventory.,**清理**你的物品欄。
6,clerk,The villager acts like a shop **clerk**.,村民表現得像個商店**店員**。
6,climb,**Climb** the ladder.,**爬**梯子。
6,club,Join my building **club**.,加入我的建築**俱樂部**。
6,cold,It is **cold** in the snowy tundra.,在雪地凍原很**冷**。
6,comb,Honey**comb** is used for waxing copper.,蜂**巢** (蜜脾) 被用來幫銅蠟化。
6,comfortable,Make your base **comfortable**.,讓你的基地很**舒適**。
6,convenient,Nether hubs are very **convenient**.,下界交通樞紐非常**方便**。
6,corner,Hide in the **corner**.,躲在**角落**。
6,cost,What is the **cost** of this enchantment?,這個附魔的**花費**是多少？
6,couch,Sit on the **couch** (stairs).,坐在**沙發** (階梯) 上。
6,count,**Count** your emeralds.,**數**你的綠寶石。
6,cousin,Piglin Brutes are **cousin**s of Piglins.,豬布林蠻兵是豬布林的**表親**。
6,crazy,This redstone machine is **crazy**.,這個紅石機器太**瘋狂**了。
6,dead,The bush is **dead**.,這個灌木是**死**的 (枯怪木)。
6,deaf,"The Warden is blind, not **deaf**.",伏守者是瞎的，不是**聾**的。
6,deal,That is a good **deal**.,那是一個好的**交易**。
6,December,It snows in **December**.,**十二月**會下雪。
6,decide,**Decide** where to build.,**決定**要在哪裡蓋房子。
6,department store,This building is a **department store**.,這棟建築是一間**百貨公司**。
6,dictionary,The Wiki is like a **dictionary**.,維基百科就像一本**字典**。
6,different,Each biome is **different**.,每個生態域都是**不同的**。
6,doctor,"Eat a golden apple, you don't need a **doctor**.",吃金蘋果，你不需要**醫生**。
6,Dr.,Call me **Dr.** Redstone.,叫我紅石**博士**。
6,dodge ball,Avoid the arrows like **dodge ball**.,像躲**避球**一樣躲避箭矢。
6,dodgeball,Let's play **dodgeball** with snowballs.,我們用雪球來玩**躲避球**吧。
6,dot,The crosshair is a small **dot**.,準心是一個小**點**。
6,dragon,Kill the Ender **Dragon**.,殺死終界**龍**。
6,drawer,Use a barrel as a **drawer**.,使用木桶當作**抽屜**。
6,drum,Note blocks can sound like a **drum**.,音符盒可以聽起來像**鼓**。
6,during,Don't go out **during** the night.,在晚上**期間**不要出門。
6,earth,Dig up the **earth** (dirt).,挖起**泥土**。
6,east,The sun rises in the **east**.,太陽從**東方**升起。
6,Easter,Find the **Easter** egg.,尋找**復活節**彩蛋。
6,either,You can use **either** bow or crossbow.,你可以用弓**或者**十字弓。
6,elementary school,I learned this in **elementary school**.,我在**小學**學過這個。
6,else,What **else** do you need?,你**還**需要什麼？
6,e-mail,Send me the server IP via **e-mail**.,透過**電子郵件**寄伺服器 IP 給我。
6,email,I don't check **email** when playing.,玩遊戲時我不收**信**。
6,end,Go to the **End** dimension.,去**終**界維度。
6,enter,**Enter** the Nether portal.,**進入**下界傳送門。
6,eve,"On New Year's **Eve**, we watch fireworks.",在除夕**前夕**，我們看煙火。
6,example,Show me an **example** of that build.,給我看那個建築的**例子**。
6,fact,It is a **fact** that bedrock is unbreakable.,基岩無法破壞是一個**事實**。
6,factory,Build an iron golem **factory**.,蓋一座鐵魔像**工廠** (刷鐵機)。
6,famous,Dream is a **famous** player.,Dream 是一個**有名的**玩家。
6,far,The Woodland Mansion is very **far**.,林地府邸非常**遠**。
6,farmer,Trade wheat with the **farmer**.,跟**農夫**交易小麥。
6,favorite,Diamond is my **favorite** item.,鑽石是我**最喜歡的**物品。
6,February,**February** is a short month.,**二月**是一個短的月份。
6,few,I have a **few** torches left.,我剩下**一些**火把。
6,fight,**Fight** the zombies.,跟殭屍**戰鬥**。
6,fill,**Fill** the bucket with water.,把桶子**裝滿**水。
6,finally,I **finally** found diamonds!,我**終於**找到鑽石了！
6,finger,My **finger** hurts from clicking.,我的**手指**因為點擊而好痛。
6,finish,**Finish** the roof.,**完成**屋頂。
6,fisherman,The **fisherman** buys string.,**漁夫**會買線。
6,fix,**Fix** your tools with an anvil.,用鐵砧**修理**你的工具。
6,floor,The **floor** is lava!,**地版**是岩漿！
6,follow,**Follow** the map.,**跟隨**地圖。
6,front,Defend the **front** gate.,防守**前**門。
6,fun,Minecraft is **fun**.,Minecraft 很**好玩**。
6,gate,Open the fence **gate**.,打開柵欄**門**。
6,gift,This diamond is a **gift**.,這顆鑽石是一個**禮物**。
6,glass,Sand smells into **glass**.,沙子熔煉成**玻璃**。
6,glove,I need a **glove** skin.,我需要一個**手套**的皮膚。
6,goose,There is no **goose** in the game.,遊戲裡沒有**鵝**。
6,grape,Sweet berries look like **grape**s.,甜莓果看起來像**葡萄**。
6,guava,No **guava** here.,這裡沒有**芭樂**。
6,guitar,Note blocks can play **guitar** sounds.,音符盒可以彈奏**吉他**聲音。
6,habit,Closing doors is a good **habit**.,隨手關門是個好**習慣**。
6,hamburger,Steak and bread make a **hamburger**.,牛排和麵包做成**漢堡**。
6,happen,What will **happen** if I pull this?,如果我拉這個會**發生**什麼事？
6,health,Watch your **health** bar.,注意你的**血**(健康)條。
6,heart,You have ten **heart**s.,你有十顆**心**。
6,heavy,Gold armor is **heavy**.,金盔甲很**重**。
6,helpful,The Wiki is very **helpful**.,維基百科非常有**幫助**。
6,her,Give the flower to **her**.,把花給**她**。
6,hide,**Hide** from the phantom.,躲**藏**避開幻翼。
6,hike,Let's **hike** up the mountain.,我們去山區**健行**吧。
6,his,This is **his** wolf.,這是**他的**狼。
6,history,Check the server **history**.,查看伺服器**歷史**。
6,hobby,Building is my **hobby**.,建築是我的**愛好**。
6,holiday,I play all day on **holiday**.,我在**假日**整天玩。
6,hospital,He built a **hospital** for villagers.,他為村民蓋了一間**醫院**。
6,idea,I have a great **idea** for a trap.,我對陷阱有一個很棒的**點子**。
6,important,Torches are **important**.,火把是**重要的**。
6,insect,Spiders are giant **insect**s.,蜘蛛是巨大的**昆蟲**。
6,inside,Stay **inside**.,待在**裡面**。
6,jacket,My skin has a cool **jacket**.,我的皮膚有一件很酷的**夾克**。
6,January,New Year is in **January**.,新年在**一月**。
6,July,Summer break is in **July**.,暑假在**七月**。
6,June,The update came out in **June**.,更新在**六月**出來。
6,kangaroo,I wish we had a **kangaroo**.,我希望我們有**袋鼠**。
6,knife,A sword is a big **knife**.,劍是一把大**刀**。
6,know,Do you **know** how to craft a bed?,你**知道**怎麼做床嗎？
6,koala,Eucalyptus trees need **koala**s.,尤加利樹需要**無尾熊**。
6,late,It is too **late** to run.,要跑太**晚**了。
6,lazy,Pandas are **lazy**.,貓熊很**懶惰**。
6,lemon,Yellow wool looks like a **lemon**.,黃色羊毛看起來像**檸檬**。
6,let,**Let** me in.,**讓**我進去。
6,library,Find a **library** in the stronghold.,在要塞裡找**圖書館**。
6,like,I **like** survival mode.,我**喜歡**生存模式。
6,lip,Steve has no **lip**s.,史蒂夫沒有**嘴唇**。
6,listen,**Listen** to the cave sounds.,**聽**洞穴的聲音。
6,little,A **little** slime is cute.,**小**史萊姆很可愛。
6,live,I **live** in a cave.,我**住**在洞穴裡。
6,living room,Put a painting in the **living room**.,放一幅畫在**客廳**。
6,loud,Ghast screams are **loud**.,惡魂的尖叫聲很**大聲**。
6,lovely,What a **lovely** house.,多麼**可愛的**房子。
6,low,My health is **low**.,我的血量很**低**。
6,mailman,The wandering trader is like a **mailman**.,流浪商人就像**郵差**。
6,mail carrier,Use a llama as a **mail carrier**.,用駱馬當**郵差**。
6,map,Fill out the **map**.,填滿這張**地圖**。
6,March,**March** is in spring.,**三月**是在春天。
6,market,Go to the village **market**.,去村莊**市場**。
6,math,Redstone requires **math**.,紅石需要**數學**。
6,mathmathematics,Calculating coordinates is **mathematics**.,計算座標是**數學**。
6,May,**May** I join you?,我**可以**加入你嗎？ (雙關: 五月)
6,maybe,**Maybe** there is a dungeon here.,**也許**這裡有個地牢。
6,meeting,Server **meeting** at spawn.,在重生點開伺服器**會議**。
6,minute,Wait a **minute**.,等一**分鐘**。
6,month,The moon phase changes every **month** (cycle).,月相每**月** (週期) 改變。
6,most,**Most** players like diamonds.,**大部分**玩家喜歡鑽石。
6,MRT,Build an **MRT** system with minecarts.,用礦車蓋一個**捷運**系統。
6,museum,Display rare blocks in a **museum**.,在**博物館**展示稀有方塊。
6,must,You **must** eat to run.,你**必須**吃東西才能跑。
6,my,This is **my** house.,這是**我的**房子。
6,nail,Iron nuggets look like **nail**s.,鐵粒看起來像**釘子**。
6,noodle,End rods look like a glowing **noodle**.,終界燭看起來像發光的**麵條**。
6,north,Head **north**.,往**北**走。
6,November,**November** is fall.,**十一月**是秋天。
6,October,Halloween is in **October**.,萬聖節在**十月**。
6,oil,Black water looks like **oil**.,黑色的水看起來像**石油**。
6,our,This is **our** server.,這是**我們的**伺服器。
6,ox,A cow is like an **ox**.,牛就像**公牛**。
6,papaya,Orange wool looks like **papaya**.,橘色羊毛看起來像**木瓜**。
6,peach,Pink wool looks like a **peach**.,粉紅羊毛看起來像**桃子**。
6,pear,Green wool looks like a **pear**.,綠色羊毛看起來像**梨子**。
6,piano,Build a **piano** with note blocks.,用音符盒蓋一架**鋼琴**。
6,plate,Step on the pressure **plate**.,踩上壓力**板**。
6,pocket,My inventory is my **pocket**.,我的物品欄是我的**口袋**。
6,pond,Fish in the small **pond**.,在小**池塘**釣魚。
6,popcorn,Seeds look like **popcorn**.,種子看起來像**爆米花**。
6,post office,Drop items at the **post office**.,在**郵局**丟物品。
6,postcard,Maps act like a **postcard**.,地圖作用像**明信片**。
6,put,**Put** the torch on the wall.,把火把**放**在牆上。
6,quiet,Be **quiet** near the Warden.,在伏守者附近要**安靜**。
6,rat,Silverfish is like a **rat**.,蠹魚就像**老鼠**。
6,ready,Are you **ready**?,你**準備**好了嗎？
6,restroom,AFK in the **restroom**.,在**廁所**暫離。
6,roller skate,Ice boating feels like **roller skate**s.,冰上划船感覺像**溜冰**。
6,rose,Wither **rose** hurts you.,凋靈**玫瑰**會傷害你。
6,round,Slime balls are **round**.,史萊姆球是**圓的**。
